id,group,hs.grad,nation,gender,age,m.status,political,n.child,income,housing,food,other,score,scr,time1,time2,time3,Pol
1,treat,no,Europe,female,49,divorced,Conservative,1,79252.66871,0.27,0.11,0.62,-0.36,0.100528654,0.01,-0.53,0.1,2.977202218
2,treat,no,North America,male,35,married,Conservative,0,104160.2385,0.47,0.23,0.3,0.69,0.783733667,0.63,2.37,2.24,3.981941651
3,treat,yes,Asia,male,46,divorced,New_Democrat,1,92824.38396,0.93,0.06,0.01,0.83,1.04112868,1,2.15,2.12,2.953776452
4,control,no,North America,male,18,widowed,New_Democrat,1,131866.2689,0.67,0.02,0.31,-1.61,0.601481663,0.8,2,1.03,1.766428399
5,control,no,Asia,female,62,divorced,New_Democrat,0,79769.76708,0.62,0.26,0.12,1.1,0.992247275,0.31,-1.64,2.56,1.071817511
6,treat,yes,North America,female,63,divorced,Liberal,2,57296.46814,0.89,0.02,0.09,0.33,0.1781422,0.24,-1.69,0.72,1.053379131
7,treat,no,North America,female,31,divorced,Liberal,0,4256.085607,0.86,0.07,0.07,-0.06,0.665262008,0.56,-0.82,1.33,2.041010068
8,treat,yes,Europe,male,19,married,Conservative,2,17414.06458,0.19,0.67,0.14,-0.32,0.401369305,0.97,-0.39,2.98,2.989911146
9,treat,yes,North America,male,18,married,Conservative,1,83850.07531,0.13,0.17,0.7,-1.11,1.505927629,0.96,2.85,4.12,2.913943096
10,control,no,North America,male,50,widowed,Liberal,1,39404.66039,0.29,0.41,0.3,-0.18,0.282388538,0.65,0.36,0.84,1.467154537
11,treat,yes,North America,female,18,never,Other,0,118000,0.66,0.19,0.15,1.03,0.420112851,0.39,-1.72,0.58,1.428997871
12,treat,no,North America,male,29,married,New_Democrat,4,16718.40492,0.68,0.29,0.03,0.69,0.01008416,0.06,-0.14,0.76,4.81734463
13,treat,no,Asia,male,25,never,Conservative,1,135000,0.98,0.02,0,0.52,1.064891446,0.52,3.82,0.6,4.151269096
14,treat,no,North America,male,33,never,New_Democrat,3,11000,0.62,0.31,0.07,-0.43,0.853263325,0.09,-0.9,0.27,4.127318457
15,control,yes,North America,female,56,married,New_Democrat,2,91481.65992,0.95,0.05,0,-0.2,0.998715637,0.97,5.54,3.55,0.222311531
16,treat,no,North America,female,42,never,Conservative,2,119000,0.44,0.06,0.5,0.36,2.088146199,0.56,2.36,2.76,2.939819205
17,control,yes,North America,female,37,married,New_Democrat,4,134873.2773,0.82,0.16,0.02,2.26,2.583357642,0.6,-0.16,6.55,0.48849292
18,treat,yes,Southern,male,22,never,Conservative,2,79000,1,0,0,-1.8,0.110842989,0.72,0.26,3.79,2.849269543
19,treat,yes,North America,female,30,married,Liberal,2,106573.3712,0.03,0.95,0.02,0.71,1.538530391,0.61,-0.41,5.38,1.222865209
20,treat,no,Asia,male,61,never,New_Democrat,2,75000,0.77,0.06,0.17,2.22,1.243071274,0.98,-0.89,8.73,4.660993916
21,treat,yes,Asia,male,36,married,Liberal,1,135142.5064,0.1,0.08,0.82,0.57,1.734931722,0.83,2.13,6.41,2.624950058
