"Milk","Groc","Froz","Deli","Frsh","Clen"
3131,89927,9462,11325,14909,14433
11757,211055,5958,4125,17309,10901
12187,79513,9792,9077,10634,6115
5802,62925,4718,14159,1594,5308
5970,84296,4730,14151,5508,34807
11869,88235,10278,8481,12143,17652
11368,69435,8697,10090,16298,13594
11600,113370,10675,8971,15411,30187
3194,85428,8558,2138,14439,37752
13214,99965,6073,3075,15780,38435
6304,58704,7744,1193,15239,24045
5719,56867,7746,8869,11864,13957
7484,34149,3984,6110,3378,44321
11081,60146,10615,2618,6780,20098
11977,55790,5719,5970,19483,6250
11817,128202,4604,1364,21235,25043
6768,59758,9262,11808,11881,3140
10771,66430,10865,9070,12432,39619
12200,87205,10539,5749,10348,20723
11556,216017,5561,8229,19695,37939
5259,66723,4749,15103,5286,3123
11511,195091,6207,7711,18611,59281
6926,30185,7306,9082,3534,10868
6916,108050,3682,15964,7323,19717
5421,45836,9060,6770,15595,13969
13881,137599,10867,8722,8924,20617
12865,54710,9420,3577,11853,14719
5660,57630,3293,4626,5955,33744
11198,178492,6292,8036,19158,7370
12123,98675,9693,4463,15105,22011
10862,45788,9280,2811,11078,39065
12310,149155,6341,8262,19251,47709
5280,67670,4413,5939,8452,27694
3046,76425,9873,6154,7812,6384
9660,234798,6228,883,17090,15808
5050,79559,8477,3438,8610,16131
6544,28368,7594,7278,10521,41546
12942,93426,9498,4161,15251,54306
13039,97292,10310,5733,15082,15816
5200,56551,10890,5863,13885,36159
12675,93768,9757,908,13544,21879
13072,174246,5724,8136,21533,43572
10880,25686,6521,1231,16588,20413
6228,40937,10312,7325,17528,5990
12095,191094,6285,9509,18456,32440
13181,104044,9660,6464,9013,5295
8304,33924,4246,10442,1291,28452
14165,108616,4650,8180,18336,12161
12233,116763,9296,3559,6277,16220
12053,37129,10537,11587,12138,13237
13723,170746,11198,5234,14911,19877
6277,77277,5209,12325,3172,42374
8954,90116,8967,3198,8049,15841
12658,137626,9854,10568,9212,32885
6088,59931,4460,14580,10843,40439
12124,113243,5562,9777,22151,27986
11666,62635,10342,5400,10117,9222
6150,70913,8349,2410,8277,9112
12598,73825,10686,7493,8983,32716
10656,59140,9442,10757,10797,44934
11353,87637,11820,10924,8296,37608
6281,150853,5009,13205,7372,48260
11342,107929,9422,2363,11394,30034
5977,75941,6659,13502,6231,43095
5635,51777,4716,8615,4005,5841
14307,68089,4421,6282,18467,24620
6020,83818,5871,6219,2502,15788
5932,115140,4335,7253,8777,31892
12598,147575,10510,2142,9080,50689
5842,39832,10172,13562,15029,17431
12047,214203,5714,7180,13852,42611
4792,87808,8515,2111,12974,27884
6629,100966,9218,5531,10752,28477
6766,68201,8278,12457,12428,10013
