"id","group","hs.grad","nation","gender","age","m.status","political","n.child","income","food","housing","other","score","Pol","time1","time2","time3","scr"
1,"control","no","North America","undis",21,"widowed","New_Democrat",0,138147.214145303,0.13,0.87,0,-0.15,0.932313121393418,0.57,NA,0.591378034975218,0.783425309826976
2,"treat","yes","North America","undis",53,"widowed","New_Democrat",1,21953.2682805882,0.75,0.2,0.05,-0.71,1.89239846630943,0.52,0.43,0.522721634780314,0.906394937765775
3,"treat","no","North America","female",44,"never","Liberal",0,87000,0.82,0.08,0.1,-0.16,1.70799703900426,0.16,NA,0.153252011181061,1.32694089951992
4,"treat","no","Asia","male",35,"divorced","New_Democrat",1,66420.2541978086,0.67,0.05,0.28,-0.19,3.40982339724708,0.61,NA,0.627824071357438,1.1769016491151
5,"treat","no","Asia","male",20,"never","Liberal",0,146000,0.26,0.18,0.56,0.73,2.84856686626532,0.09,NA,0.0887501299886798,1.71650898327104
6,"control","yes","North America","undis",35,"never","Other",2,77000,0.04,0.17,0.79,0.46,-0.958099876534171,0.03,NA,0.0156126621420849,1.34421485661137
7,"control","no","Europe","undis",55,"divorced","Conservative",3,13287.0506776436,0.87,0.11,0.02,-0.55,1.33469047478428,0.78,NA,0.764937090865816,0.331085179680875
8,"treat","no","Europe","female",37,"married","Liberal",3,159497.382495083,0.8,0.19,0.01,-1.55,1.8967601505564,0.88,NA,0.878406552267229,0.603581161975019
9,"control","yes","Asia","undis",49,"married","Conservative",3,102868.400757966,0.22,0.67,0.11,2.08,-0.0431291246616065,0.16,NA,0.152953550864937,1.55782249672753
10,"treat","yes","North America","undis",21,"divorced","Liberal",2,0,0.2,0.2,0.6,0.75,0.77108933215221,0.5,NA,0.495992485306695,0.672552840490124
11,"control","no","Asia","male",52,"divorced","New_Democrat",1,9949.71948179752,0.46,0.38,0.16,1.12,2.78678277186218,0.1,NA,0.0939883414296773,0.364322170215978
12,"treat","yes","Europe","male",63,"divorced","Liberal",4,56957.4005681349,0.86,0.12,0.02,-0.84,1.62419538610419,1,NA,0.994195573710106,0.931883716655239
13,"control","yes","Europe","female",26,"divorced","New_Democrat",1,39873.890075428,0.1,0.23,0.67,0.22,-0.2724565913855,0.47,NA,0.467227641969323,1.15195374780014
14,"control","yes","Southern","undis",42,"married","Other",2,50299.6822874037,0.87,0.11,0.02,0.22,-0.910456534958262,0.18,NA,0.158624742970358,0.536757721222516
15,"treat","no","North America","undis",34,"divorced","Conservative",0,104636.476270431,0.53,0.25,0.22,0.47,2.94936188949744,0.95,NA,0.966883570995441,0.742458624516115
16,"treat","yes","Asia","female",20,"never","Liberal",2,26000,0.03,0.59,0.38,0.93,0.318010208187604,0.87,NA,0.884686040987903,0.947037683863402
17,"treat","no","Asia","male",33,"divorced","Other",3,13604.9384378811,0.11,0.44,0.45,-0.13,3.66999232278523,0.68,NA,0.682005750648432,0.732745633293998
18,"control","yes","North America","undis",60,"divorced","New_Democrat",0,123245.157516686,0.9,0.02,0.08,-0.7,0.361052717791049,0.55,NA,0.564190699582108,0.481942819565614
19,"control","yes","Asia","undis",21,"married","Conservative",3,137753.97971525,0.34,0.06,0.6,-1.39,-0.392383450535928,0.01,NA,0.0196428097588038,0.370038761787594
