"RBC","HR","SR","WS","SF","Hol","Humid","RF","Temp","Seas"
2083,20,0,2.3,0,"No Holiday",53,0,19.4,"Summer"
725,2,0,3.9,0,"No Holiday",98,0,3.5,"Winter"
2166,3,0,2.6,0,"No Holiday",61,0,25.7,"Autumn"
1031,16,0.52,0.5,0,"Holiday",95,0,21,"Summer"
1708,1,0,0.8,0,"No Holiday",53,0,19,"Spring"
1857,10,0.15,0.3,0,"No Holiday",48,0,22.6,"Spring"
2307,19,0.01,2.6,0,"No Holiday",69,0,30,"Summer"
1683,20,0.01,0.4,0,"No Holiday",52,0,-5.6,"Winter"
2064,16,2.16,1.5,0,"No Holiday",69,0,11.4,"Autumn"
2294,17,0.6,2.3,0,"No Holiday",34,0,1.5,"Spring"
1993,14,1.8,1.2,0,"No Holiday",12,0,16.3,"Spring"
1876,8,0.03,1.4,0,"No Holiday",78,0,27.1,"Summer"
1764,22,0,0.5,0,"No Holiday",95,0,24.4,"Summer"
1932,10,1.81,1,0,"No Holiday",79,0,15.5,"Spring"
1779,14,1.5,1.6,0,"No Holiday",63,0,14.5,"Autumn"
1524,2,0,3.4,0,"No Holiday",56,0,24.3,"Summer"
2510,18,0,0.6,0,"No Holiday",38,0,25.4,"Autumn"
2047,9,0.64,3.7,0,"No Holiday",51,0,7.1,"Spring"
1715,14,1.91,2.4,0,"No Holiday",66,0,9.1,"Spring"
1463,3,0,1,0.3,"No Holiday",33,0,-6.3,"Winter"
1747,21,0,1.8,0,"No Holiday",86,0,7.1,"Spring"
1165,8,0.62,4.5,0,"No Holiday",57,0,-13.6,"Winter"
2088,22,0,1.3,0,"No Holiday",52,0,24.1,"Spring"
1302,5,0,1.2,0,"No Holiday",48,0,-4,"Winter"
1817,21,0,1.5,0,"No Holiday",82,0,19.4,"Summer"
1596,3,0,2.8,0,"No Holiday",66,0,21.8,"Autumn"
1837,11,1.75,0.7,0,"No Holiday",44,0,34.6,"Summer"
2393,12,2.21,2.3,0,"No Holiday",61,0,19,"Autumn"
1805,22,0,2.6,0,"No Holiday",37,0,-9.9,"Winter"
993,8,0,1.4,0,"No Holiday",92,4.9,22.8,"Summer"
987,12,2.74,1.7,0,"No Holiday",74,0,30.1,"Summer"
1602,14,0.13,0.5,0,"No Holiday",82,0,6.6,"Autumn"
1564,3,0,0.5,0,"No Holiday",53,0,18.5,"Summer"
1758,9,0.18,2,0,"No Holiday",63,0,10.3,"Autumn"
1655,20,0.03,4.1,0,"No Holiday",87,0,13.5,"Spring"
2354,9,1.03,1.7,0,"No Holiday",34,0,19.1,"Autumn"
2616,12,0.09,0.4,0,"No Holiday",36,0,22.6,"Autumn"
1423,8,0.11,0.7,0,"No Holiday",29,0,-4.6,"Winter"
2191,13,2.31,2.5,0,"No Holiday",50,0,4.5,"Autumn"
2113,13,3.21,1.8,0,"No Holiday",36,0,-4.2,"Winter"
1748,3,0,2,0,"No Holiday",59,0,22.2,"Autumn"
1769,2,0,1.3,0,"No Holiday",39,0,14.1,"Spring"
2233,8,0.04,2.9,0,"No Holiday",28,0,22.1,"Spring"
1551,10,0.64,1.4,0,"No Holiday",86,0,19.3,"Spring"
1976,3,0,3.2,0,"No Holiday",59,0,34.5,"Summer"
1912,13,0.6,0.7,0,"No Holiday",62,0,16.4,"Spring"
2651,10,1.43,3.2,0,"No Holiday",48,0,28.6,"Summer"
1856,6,0,2.4,0,"No Holiday",44,0,9.2,"Spring"
1321,3,0,1.9,0,"No Holiday",72,0,14.9,"Autumn"
2000,7,0.1,0.9,0,"No Holiday",21,0,7,"Spring"
2348,11,1.77,1.9,0,"No Holiday",57,0,20.1,"Autumn"
1974,15,1.72,3.9,0,"No Holiday",56,0,17,"Spring"
1781,23,0,1.8,0,"No Holiday",57,0,-2.5,"Winter"
799,5,0,0.7,0.8,"No Holiday",70,0,-5.4,"Winter"
2119,19,0.24,0.9,0,"No Holiday",53,0,23.4,"Spring"
2025,2,0,1.3,0,"No Holiday",56,0,28.6,"Summer"
2160,17,0.8,3,0,"No Holiday",45,0,7.6,"Spring"
1874,8,0.13,1.7,0,"Holiday",64,0,28.7,"Summer"
1534,8,1.13,1,0,"No Holiday",95,3,11.8,"Spring"
1945,12,1.87,0.6,0,"No Holiday",45,0,2.2,"Winter"
1817,15,0.83,1.7,0,"No Holiday",66,0,28.6,"Summer"
1789,15,0.84,1.4,0,"No Holiday",71,0,16.7,"Spring"
1841,16,2,2.3,0,"No Holiday",83,0,6.3,"Autumn"
2194,0,0,0,0,"No Holiday",38,0,21.1,"Summer"
1071,2,0,2.2,0,"No Holiday",44,0,-5.2,"Winter"
1717,8,0.29,1.9,0,"No Holiday",38,0,5.7,"Winter"
1758,13,1.42,2.6,0,"No Holiday",25,0,-7.3,"Winter"
1591,17,0.08,1,0,"No Holiday",39,0,-10.1,"Winter"
1880,12,2.5,0.9,0,"No Holiday",48,0,30.9,"Summer"
2266,20,0,1,0,"No Holiday",49,0,17.5,"Spring"
2455,23,0,0.4,0,"No Holiday",32,0,9.6,"Spring"
1431,8,0,4.8,0,"No Holiday",77,0,2.3,"Autumn"
1428,4,0,2.3,0,"No Holiday",31,0,3.4,"Winter"
2118,22,0,1.6,0,"No Holiday",62,0,15.3,"Autumn"
1550,0,0,1.7,0,"No Holiday",71,0,11,"Autumn"
1324,9,0.03,2,0,"No Holiday",86,0,7.9,"Autumn"
2405,12,1.57,0.4,0,"No Holiday",48,0,26,"Summer"
1169,2,0,2.5,0,"No Holiday",53,0,10,"Winter"
2233,14,1.67,2.1,0,"No Holiday",26,0,3.4,"Winter"
2375,15,1.85,0.8,0,"No Holiday",57,0,9.1,"Spring"
1270,0,0,1.8,0,"No Holiday",87,0,7.4,"Autumn"
1802,12,1.9,1.3,0,"No Holiday",50,0,8,"Autumn"
3091,21,0,1.1,0,"No Holiday",57,0,28,"Autumn"
1706,22,0,1.1,1,"No Holiday",48,0,3.4,"Winter"
2200,19,0.23,1.6,0,"No Holiday",42,0,-0.1,"Autumn"
2295,22,0,1.8,0,"No Holiday",47,0,8.8,"Spring"
1467,11,2.07,1,0,"No Holiday",53,0,-11,"Winter"
1374,5,0,2,0,"No Holiday",36,0,-4.9,"Winter"
1534,3,0,0.2,0,"No Holiday",81,0,13.5,"Spring"
1380,8,1,1.5,0,"No Holiday",67,0,13.4,"Spring"
1655,17,0.86,1.8,0,"Holiday",66,0,6.4,"Spring"
2753,23,0,3.9,0,"No Holiday",29,0,22.6,"Spring"
2466,20,0,0.9,0,"No Holiday",45,0,21.3,"Spring"
1813,19,0.02,2.3,0,"No Holiday",96,0,17.5,"Spring"
2341,10,2.17,1.5,0,"No Holiday",41,0,24.9,"Summer"
2188,7,0,1.5,0,"No Holiday",36,0,25.9,"Autumn"
2067,4,0,1.1,0,"No Holiday",56,0,13.4,"Autumn"
1608,14,2.88,2.3,0,"Holiday",53,0,16.1,"Autumn"
1884,12,1.18,1.7,0,"No Holiday",46,0,26.3,"Summer"
0,20,0,1.9,0,"No Holiday",64,0,155,"Autumn"
1608,20,0,3,0,"No Holiday",94,2.5,17.9,"Autumn"
2342,9,0.99,3.2,0,"No Holiday",31,0,15,"Autumn"
1338,0,0,1.1,0,"No Holiday",31,0,-4.3,"Winter"
939,11,2.87,1.2,0,"No Holiday",42,0,2.6,"Winter"
1513,10,0.93,0.9,0,"No Holiday",56,0,1,"Winter"
2099,19,0,1.7,0,"No Holiday",15,0,-3.3,"Winter"
2547,16,0.21,2,0,"No Holiday",24,0,20.6,"Autumn"
1599,2,0,0.4,0,"No Holiday",84,0,26,"Summer"
2074,14,0.41,0.2,0,"No Holiday",72,0,27.9,"Summer"
2661,23,0,1,0,"No Holiday",48,0,22.3,"Autumn"
1575,2,0,0.3,0,"No Holiday",51,0,15.6,"Autumn"
646,0,0,0.8,0,"No Holiday",44,0,-16.6,"Winter"
2423,20,0,3.2,0,"No Holiday",54,0,21.6,"Autumn"
1013,6,0,2,0,"No Holiday",69,0,3,"Winter"
1173,1,0,4.3,0,"No Holiday",52,0,1.1,"Winter"
2029,19,0,2.2,0,"No Holiday",53,0,24.8,"Summer"
2044,0,0,1.5,0,"No Holiday",32,0,19.8,"Autumn"
1313,18,1,0.9,0,"No Holiday",75,0,3.1,"Spring"
1671,23,0,1.6,0,"No Holiday",57,0,7.1,"Winter"
915,12,2.73,0.4,2.7,"No Holiday",86,0,2,"Winter"
2059,6,0,1.1,0,"No Holiday",75,0,13.7,"Autumn"
1885,19,0,3,0,"No Holiday",98,0,12.9,"Spring"
2124,13,3.52,4,0,"No Holiday",68,0,21.5,"Summer"
1977,6,0,2.3,0,"No Holiday",72,0,25.9,"Summer"
1405,0,0,4.8,0,"No Holiday",27,0,-5.9,"Winter"
2097,13,2.89,1.6,0,"Holiday",47,0,13.8,"Autumn"
1833,12,2.5,0.9,0,"No Holiday",35,0,24.6,"Spring"
1758,5,0,3.3,0,"No Holiday",59,0,9.2,"Autumn"
1453,3,0,1.1,0,"No Holiday",71,0,32.2,"Summer"
2040,13,1.3,1.9,0,"No Holiday",37,0,7.5,"Spring"
2162,17,0.09,1.3,0,"No Holiday",72,0,17.5,"Autumn"
2230,22,0,5.8,0,"No Holiday",95,4,24.7,"Summer"
1777,6,0,3,0,"No Holiday",58,0,25.4,"Autumn"
2065,18,0.49,2.7,0,"No Holiday",58,0,24.8,"Autumn"
2333,17,0.08,2.1,0,"No Holiday",57,0,15.4,"Autumn"
1841,10,2.17,2.8,0,"No Holiday",20,0,-4.8,"Winter"
1976,22,0,1.7,0,"No Holiday",32,0,-6.8,"Winter"
1990,7,0,4.5,0,"No Holiday",77,0,27.6,"Summer"
2015,23,0,1.1,0,"No Holiday",36,0,-1.7,"Winter"
1573,18,0.34,1.3,0,"No Holiday",62,0,21.9,"Spring"
2300,9,1.6,0.8,0,"No Holiday",53,0,13.9,"Autumn"
1973,16,0.99,0.4,0,"No Holiday",98,0.5,23.5,"Spring"
1727,17,0.39,1.2,0,"No Holiday",40,0,-6.6,"Winter"
1611,20,0,1.5,0,"No Holiday",87,0,22.2,"Summer"
2444,17,0.37,2,0,"No Holiday",63,0,25.3,"Summer"
2105,19,0.2,3.7,0,"No Holiday",70,0,23.7,"Summer"
1687,10,0.28,2.4,0.4,"No Holiday",82,0,4.5,"Autumn"
1894,1,0,1.4,0,"No Holiday",51,0,14.7,"Spring"
1805,3,0,0.9,0,"No Holiday",72,0,15,"Autumn"
2076,5,0,2.4,0,"No Holiday",30,0,20.8,"Spring"
2348,20,0,1.7,0,"Holiday",31,0,5.8,"Autumn"
1513,1,0,1.6,0,"No Holiday",51,0,11.1,"Autumn"
3254,22,0,2,0,"No Holiday",41,0,30.9,"Autumn"
321,1,0,2,0,"No Holiday",71,0,-8.7,"Winter"
2010,3,0,0.7,0,"No Holiday",38,0,35.4,"Summer"
1132,23,0,2,0,"No Holiday",59,0,-11.1,"Winter"
1849,9,1.76,2,0,"No Holiday",96,0.5,22.9,"Autumn"
2238,18,0.92,0.8,0,"No Holiday",38,0,9.2,"Spring"
2344,20,0,2.3,0,"No Holiday",67,0,32.3,"Summer"
1841,21,0,0.5,0,"No Holiday",32,0,-4.7,"Winter"
1866,9,0.02,0.9,0,"No Holiday",51,0,33.6,"Summer"
674,2,0,1,0,"No Holiday",61,0,1,"Winter"
1454,0,0,1.8,0,"No Holiday",59,0,30.1,"Summer"
2047,17,2.04,1,0,"No Holiday",59,0,10.3,"Spring"
1551,20,0.05,1.1,2,"No Holiday",42,0,-2.7,"Winter"
1339,1,0,1.2,0,"No Holiday",76,0,20,"Summer"
2093,13,1.09,1.6,0,"No Holiday",41,0,11.6,"Spring"
1424,10,0.14,1.1,0,"Holiday",83,0,18.3,"Summer"
1727,8,0.05,2.8,0,"No Holiday",65,0,24.2,"Autumn"
1573,20,0,1.5,0,"No Holiday",79,0,8.5,"Autumn"
1626,4,0,3.6,0,"No Holiday",74,0,8.1,"Autumn"
1100,2,0,1.1,0,"No Holiday",54,0,-4,"Winter"
2033,13,2.99,1.3,0,"No Holiday",50,0,21.5,"Autumn"
1474,11,0.47,0.6,0,"No Holiday",50,0,-0.1,"Winter"
1559,4,0,1.1,0,"No Holiday",65,0,25.9,"Summer"
1424,1,0,0.7,0,"No Holiday",78,0,19.2,"Autumn"
1159,10,0.85,2.7,0,"No Holiday",56,0,-13.1,"Winter"
1109,15,0.59,1.5,1,"No Holiday",65,0,-6.8,"Winter"
2205,22,0,2.5,0,"No Holiday",91,0,19,"Autumn"
2029,11,2.51,1.5,0,"No Holiday",30,0,17.4,"Autumn"
1352,5,0,0.6,0,"No Holiday",58,0,6,"Winter"
1451,5,0,1.4,0,"No Holiday",33,0,-7.8,"Winter"
764,0,0,1.5,0,"No Holiday",62,0,2.5,"Winter"
1381,21,0,1.2,0.8,"No Holiday",73,0,2.7,"Winter"
1592,16,0.11,2.5,0,"No Holiday",55,0,1.9,"Winter"
1382,4,0,2.2,0,"No Holiday",37,0,7.1,"Winter"
2287,21,0,0.6,0,"No Holiday",95,35,21.7,"Spring"
1824,22,0,3.2,0,"No Holiday",41,0,-3.8,"Winter"
1681,20,0,1.3,0,"No Holiday",79,0,16.2,"Spring"
986,0,0,2.9,0,"No Holiday",95,0,16.5,"Spring"
2702,11,0.34,2.8,0,"No Holiday",25,0,19.3,"Autumn"
1327,13,1.89,1.7,0,"No Holiday",45,0,-6.2,"Winter"
887,12,0.42,1.4,2.2,"No Holiday",87,0,-1.1,"Winter"
2286,19,0,2.5,0,"No Holiday",51,0,7.4,"Autumn"
782,0,0,0.1,0,"No Holiday",64,0,3.5,"Winter"
1339,17,0.82,3.2,0,"No Holiday",51,0,-12.5,"Winter"
1466,12,0.6,0.4,0,"No Holiday",33,0,-6.8,"Winter"
1535,18,0.94,1.3,0,"No Holiday",74,0,1.8,"Winter"
2107,19,0,3.5,0,"No Holiday",25,0,10.1,"Spring"
1659,22,0,0.5,0,"No Holiday",58,0,-7.1,"Winter"
2645,17,1.61,1,0,"No Holiday",43,0,26.7,"Summer"
2518,6,0.06,2.1,0,"No Holiday",38,0,25.9,"Autumn"
1924,9,1.74,1.1,0,"No Holiday",60,0,12.6,"Autumn"
1616,1,0,0.9,0,"No Holiday",60,0,20.2,"Autumn"
1016,2,0,2.1,0,"No Holiday",55,0,5.6,"Winter"
1480,21,0,0.7,0,"No Holiday",79,0,-4.1,"Winter"
2524,18,0.02,0.8,0,"No Holiday",59,0,27.9,"Summer"
1058,4,0,2.9,0,"No Holiday",83,0,-0.6,"Winter"
1712,14,2.48,2.8,0,"No Holiday",41,0,2.4,"Winter"
1476,19,0,0.6,0,"No Holiday",60,0,-2.5,"Winter"
